article,has_lesson_term,has_effect_term,n_matching_sentences,sample_sentences
2013/58-pg18.3_002.txt,1,1,0,
2013/58-pg18.3_003.txt,0,1,0,
2013/58-pg18.3_004.txt,0,1,1,"美国最终退出量化宽松仍需时日
国际社会评价美联储小幅削减资产购买规模决定
作者：吴成良;韩硕;吴刚;刘军国;颜欢;强薇;彭敏
时间：2013-12-21

自次贷危机出现并引发国际金融危机以来，美联储先后实施了三轮量化宽松政策（简称QE）"
2013/58-pg18.3_005.txt,0,1,0,
2013/58-pg18.3_006.txt,1,1,1,改革开放以来，我们坚持社会主义市场经济的改革方向，充分发挥市场配置资源的作用，不断健全宏观调控体系，调整完善宏观经济政策，成功应对了短缺经济条件下投资消费双膨胀导致的经济过热和严重通货膨胀、有效需求不足导致的经济下滑和通货紧缩趋势、亚洲金融危机和国际金融危机等造成的严重冲击，以及重大疫情和严重自然灾害等重大突发事件，促进了经济持续健康发展，避免了经济大起大落，人民生活水平大幅提升，综合国力和国际竞争力显著增强，社会主义现代化建设取得了新的历史性成就
2013/58-pg18.3_007.txt,1,1,0,
2013/58-pg18.3_008.txt,1,0,1,从国际经验来看，在欧美发达金融市场国家，存款保险制度已普遍推行，国际金融危机和欧债危机期间，正是因为有此作为保障，银行才未发生全面挤兑现象
2013/58-pg18.3_009.txt,0,1,0,
2013/58-pg18.3_011.txt,1,1,1,国际金融危机影响具有长期性，国际市场争夺更趋激烈，必须顺势而为、转变思路
2013/58-pg18.3_012.txt,1,1,0,
2013/58-pg18.3_013.txt,1,1,1,2008年，由于国际金融危机冲击，大豆期现货价格跌幅达40%以上，国内大批企业在采购国际大豆时，通过大连期货市场提前卖出相关产品，规避了价格下跌风险
2013/58-pg18.3_015.txt,0,1,1,为了避免华尔街再次出现需要政府救助的局面，沃尔克在2008年国际金融危机爆发后提出该规则，认为坐享联邦存款担保和贴现融资好处的金融机构不应从事可能引发政府救助的冒险行为
2013/58-pg18.3_016.txt,0,1,0,
2013/59-pg19.1_002.txt,0,1,0,
2013/59-pg19.1_003.txt,1,1,0,
2013/59-pg19.1_004.txt,0,1,0,
2013/59-pg19.1_005.txt,1,1,0,
2013/59-pg19.1_006.txt,1,0,0,
2013/59-pg19.1_007.txt,0,1,0,
2013/59-pg19.1_008.txt,0,1,0,
2013/59-pg19.1_009.txt,1,1,0,
2013/59-pg19.1_010.txt,0,1,0,
2013/59-pg19.1_011.txt,0,1,0,
2013/59-pg19.1_012.txt,1,1,0,
2013/59-pg19.1_015.txt,1,1,2,由美国住房按揭信贷市场的次贷危机引发的国际金融危机发生发展的过程说明，构建稳定均衡的大金融体系，离不开大数据理念与技术的支持 || 其中一个方面的均衡被破坏，其他几个方面也会随之变动，导致不同规模、不同程度的金融危机
2013/59-pg19.1_016.txt,0,1,0,
2013/60-pg19.2_002.txt,1,1,2,近年来，我们共同经历了国际金融危机和欧债危机的冲击，通过巩固团结、深化合作，彼此经贸往来取得新进展 || 摆脱国际金融危机的深层次影响，加强国际合作、反对贸易和投资保护主义至关重要
2013/60-pg19.2_003.txt,1,1,1,尤其是近年来罗马尼亚妥善应对国际金融危机和欧债问题的冲击，经济平稳增长，社会政治稳定，人民安居乐业，已成为欧洲重要的新兴市场，地区和国际影响不断提升，赢得“欧洲之虎”的美誉
2013/60-pg19.2_004.txt,0,1,1,"在重大天灾面前，他们捐款捐物，甚至不顾个人安危奋战在第一线；在汹涌而来的国际金融危机面前，他们发出《树信心、保增长、促就业》倡议书，抱团取暖、共克时艰…… 

 2010年，中共中央、国务院下发《关于加强和改进新形势下工商联工作的意见》，第一次明确提出：工商联在我国经济、政治、文化、社会生活中有着重要影响，在促进非公有制经济健康发展、引导非公有制经济人士健康成长中具有不可替代的作用"
2013/60-pg19.2_005.txt,1,1,1,双方经贸往来经受住国际金融危机和欧债危机冲击，务实合作呈现出旺盛生机和活力
2013/60-pg19.2_006.txt,1,1,2,"近年来中国和中东欧国家政治互信继续增强，人文交流不断扩大，经贸合作也经受住了国际金融危机和欧债问题的冲击 || 近年来，受国际金融危机和欧债问题影响,资金短缺成为影响中东欧国家经济复苏的瓶颈"
2013/60-pg19.2_007.txt,1,1,1,双方经贸往来经受住国际金融危机和欧债危机冲击，务实合作呈现出旺盛生机和活力
2013/60-pg19.2_008.txt,1,1,1,国际金融危机影响深远，全球发展不平衡加剧，国际和地区冲突频繁发生
2013/60-pg19.2_009.txt,1,0,1,近年来国际金融危机的教训表明，只有认清自身对外资产负债存量，才能制定科学的宏观经济政策
2013/60-pg19.2_010.txt,1,1,1,同样是两场百年一遇的大危机，上世纪30年代大萧条冲击的只是美欧日，始于2008年的国际金融危机则席卷了全球，无一国能够幸免，无一隅可以偏安，人类社会第一次真正形成了全球化
2013/60-pg19.2_011.txt,1,1,0,
2013/60-pg19.2_012.txt,1,1,0,
2013/60-pg19.2_013.txt,0,1,0,
