article,year,sentence,sentiment,confidence
2013/62-pg20.1_016.txt,2013,在宏观经济数据逶迤上行的背景下，保险业发展快速回暖，特别是寿险利润同比增长超过500%，这“惊人一跳”的力气从哪里来？ 结构调整先苦后甜，保障型业务“顶大梁” 保险业刚刚走过严冬——2010年以来，受国际金融危机影响，国内保险市场保费来源萎缩,負面,0.3998
2013/58-pg18.3_015.txt,2013,为了避免华尔街再次出现需要政府救助的局面，沃尔克在2008年国际金融危机爆发后提出该规则，认为坐享联邦存款担保和贴现融资好处的金融机构不应从事可能引发政府救助的冒险行为,中性,0.4168
2013/58-pg18.3_004.txt,2013,美国最终退出量化宽松仍需时日 国际社会评价美联储小幅削减资产购买规模决定 作者：吴成良;韩硕;吴刚;刘军国;颜欢;强薇;彭敏 时间：2013-12-21 自次贷危机出现并引发国际金融危机以来，美联储先后实施了三轮量化宽松政策（简称QE）,中性,0.4907
2013/63-pg20.2_013.txt,2013,统计数据显示，尽管受国际金融危机影响，多数东盟国家的经济增长于2009年有所放缓，但总体上，在2005年至2012年间，东盟10国的GDP始终保持增势,中性,0.5093
2013/60-pg19.2_004.txt,2013,在汹涌而来的国际金融危机面前，他们发出《树信心、保增长、促就业》倡议书，抱团取暖、共克时艰…… 2010年，中共中央、国务院下发《关于加强和改进新形势下工商联工作的意见》，第一次明确提出：工商联在我国经济、政治、文化、社会生活中有着重要影响，在促进非公有制经济健康发展、引导非公有制经济人士健康成长中具有不可替代的作用,中性,0.4604
2013/59-pg19.1_016.txt,2013,另外，国际金融危机以来，失业率居高不下的问题一直没有得到很好解决，2008年12月美国失业率为7.2%，而目前的失业率仍然达到7.3%，从这个意义上说，奥巴马政府在推动就业方面几乎是在原地踏步,中性,0.4341
2013/59-pg19.1_013.txt,2013,这将好于去年3.5%的增长率，但与国际金融危机前6%—7%的增长率相比，则有大幅差距,中性,0.4713
2013/59-pg19.1_002.txt,2013,即使是在国际金融危机的压力下，我国版权相关产业年均增长率也接近20%,中性,0.4313
2013/58-pg18.3_014.txt,2013,中国应对国际金融危机的骄人成绩给世界带来希望，勤劳坚韧的“中国工人”曾被美国《时代》周刊列为年度人物,中性,0.4427
2013/58-pg18.3_014.txt,2013,底特律为数众多的汽车业工人素质相对较低，人才储备不足制约了这座城市的转型，国际金融危机甚至将其推入破产境地,中性,0.3995
2013/63-pg20.2_005.txt,2013,地方债究竟有多少（特别报道·辩证看待地方债(上)） 社会上对地方债议论纷纷、担忧加大，事实是怎样的？请看本报深度调查—— 作者：许志峰;王珂;吴秋余 时间：2013-10-28 新华社供图 本报记者 许志峰 王珂 吴秋余 编者按 “地方债有可能引发债务危机”、“中国地方债比美国金融危机更危险”、“地方债风险一触即发将失控”……地方债问题已经引起广泛关注，众说纷纭,中性,0.4888
2013/63-pg20.2_005.txt,2013,”贾康说，诸如为抵御金融危机冲击而兴办的投资项目和经济增长点建设，加快城乡基础设施建设、兴建大型公益项目和改善市容市貌等,中性,0.4602
2013/63-pg20.2_005.txt,2013,“尤其是在2008年国际金融危机后，地方政府面对经济增速放缓，更有了举债的压力和动力,中性,0.4758
2013/64-pg20.3_016.txt,2013,尤其是在应对国际金融危机和抗击重大自然灾害中，双方守望相助、同舟共济，夯实了合作的民意基础,中性,0.3809
2013/62-pg20.1_004.txt,2013,从积极角度讲，国际金融危机的后续影响虽然还未结束，但世界经济正在缓慢回暖,中性,0.4472
2013/62-pg20.1_004.txt,2013,中国的投资情况近年来非常好，这有助于国际金融危机之后的经济恢复,中性,0.4022
2014/50-pg16.1_005.txt,2014,国际金融危机爆发后，欧盟对非影响力不断下降，为维护欧盟在非利益，欧盟正考虑重返非洲,中性,0.5235
2014/33-pg10.3_009.txt,2014,新华社发 张斌（中国社科院世界经济与政治研究所全球宏观经济研究室主任） 斯蒂芬·罗奇（美国耶鲁大学杰克逊全球事务研究所高级研究员） 赵江林（中国社科院亚太与全球战略研究院国际经济关系室主任） 张海冰（中国上海国际问题研究院世界经济研究所执行所长） 约尔根·米歇尔（德国巴伐利亚州银行首席经济学家） 同一概念，不同内涵，反映出欧美和中国在经济复苏过程中的差异表现，但两者都面临增长动力转换问题 张斌：国际金融危机爆发以后，美国太平洋资产管理公司提出“新常态”概念，指在危机后的3至5年内，全球经济增速将大大低于危机前的经济增速，政府将更多地干预经济，出台更多监管措施,中性,0.4461
