article,stance,pro_score,anti_score,china_sentiment,china_confidence,other_countries_sentiment,other_confidence,china_excerpt_len,other_excerpt_len
2013/58-pg18.3_001.txt,neutral,0.0000,0.0000,,,中性,0.3664,0,205
2013/58-pg18.3_002.txt,neutral,0.0000,0.0000,中性,0.4679,中性,0.4725,597,187
2013/58-pg18.3_003.txt,neutral,0.0000,0.0000,中性,0.4707,中性,0.5121,715,1852
2013/58-pg18.3_004.txt,neutral,0.0000,0.0000,中性,0.4827,中性,0.4824,87,1062
2013/58-pg18.3_005.txt,neutral,0.0000,0.0000,,,中性,0.4434,0,239
2013/58-pg18.3_006.txt,pro-China,0.4462,0.0000,中性,0.4306,負面,0.4462,553,559
2013/58-pg18.3_007.txt,neutral,0.0000,0.0000,,,中性,0.4391,0,28
2013/58-pg18.3_008.txt,neutral,0.0000,0.0000,中性,0.4648,中性,0.5049,58,69
2013/58-pg18.3_009.txt,neutral,0.0000,0.0000,,,中性,0.4389,0,225
2013/58-pg18.3_010.txt,neutral,0.0000,0.0000,,,中性,0.4804,0,192
2013/58-pg18.3_011.txt,anti-China,0.0000,0.4094,負面,0.4094,中性,0.4068,421,453
2013/58-pg18.3_012.txt,pro-China,0.5023,0.0000,中性,0.3656,負面,0.5023,454,581
2013/58-pg18.3_013.txt,neutral,0.0000,0.0000,中性,0.4249,中性,0.4065,200,193
2013/58-pg18.3_014.txt,neutral,0.0000,0.0000,中性,0.4486,中性,0.4131,160,149
2013/58-pg18.3_015.txt,pro-China,0.4227,0.0000,中性,0.4024,負面,0.4227,48,702
2013/58-pg18.3_016.txt,neutral,0.0000,0.0000,中性,0.4810,中性,0.4810,263,263
2013/59-pg19.1_001.txt,pro-China,0.3638,0.0000,中性,0.4856,負面,0.3638,54,284
2013/59-pg19.1_002.txt,neutral,0.0000,0.0000,中性,0.4992,中性,0.4313,62,34
2013/59-pg19.1_003.txt,pro-China,0.4216,0.3994,負面,0.3994,負面,0.4216,426,488
2013/59-pg19.1_004.txt,neutral,0.0000,0.0000,,,中性,0.3918,0,235
2013/59-pg19.1_005.txt,neutral,0.0000,0.0000,中性,0.5077,中性,0.4804,495,80
2013/59-pg19.1_006.txt,neutral,0.0000,0.0000,中性,0.4110,中性,0.5324,325,188
2013/59-pg19.1_007.txt,neutral,0.0000,0.0000,中性,0.4760,中性,0.4833,481,282
2013/59-pg19.1_008.txt,neutral,0.0000,0.0000,,,中性,0.5032,0,176
